Date,Team,Opponent,ERA,Player,Year
Apr 4,MIA,@ ATL,3.09,Max Meyer,2025
Apr 9,MIA,@ NYM,2.00,Max Meyer,2025
Apr 16,MIA,vs AZ,2.63,Max Meyer,2025
Apr 21,MIA,vs CIN,2.10,Max Meyer,2025
Apr 27,MIA,@ SEA,3.18,Max Meyer,2025
May 3,MIA,vs ATH,3.92,Max Meyer,2025
Mar 30,MIA,vs PIT,1.59,Max Meyer,2025
Apr 4,MIA,@ ATL,3.09,Max Meyer,2025
Apr 9,MIA,@ NYM,2.00,Max Meyer,2025
Apr 16,MIA,vs AZ,2.63,Max Meyer,2025
Apr 21,MIA,vs CIN,2.10,Max Meyer,2025
Apr 27,MIA,@ SEA,3.18,Max Meyer,2025
May 3,MIA,vs ATH,3.92,Max Meyer,2025
Mar 29,TOR,vs BAL,6.00,Max Scherzer,2025
Mar 29,TOR,vs BAL,6.00,Max Scherzer,2025
Mar 31,WSH,@ TOR,7.20,Michael Soroka,2025
Mar 31,WSH,@ TOR,7.20,Michael Soroka,2025
Mar 31,STL,vs LAA,3.38,Miles Mikolas,2025
Apr 6,STL,@ BOS,11.25,Miles Mikolas,2025
Apr 12,STL,vs PHI,9.00,Miles Mikolas,2025
Apr 18,STL,@ NYM,7.64,Miles Mikolas,2025
Apr 23,STL,@ ATL,5.70,Miles Mikolas,2025
Apr 30,STL,@ CIN,4.66,Miles Mikolas,2025
Mar 31,STL,vs LAA,3.38,Miles Mikolas,2025
Apr 6,STL,@ BOS,11.25,Miles Mikolas,2025
Apr 12,STL,vs PHI,9.00,Miles Mikolas,2025
Apr 18,STL,@ NYM,7.64,Miles Mikolas,2025
Apr 23,STL,@ ATL,5.70,Miles Mikolas,2025
Apr 30,STL,@ CIN,4.66,Miles Mikolas,2025
Mar 28,PIT,@ MIA,1.50,Mitch Keller,2025
Apr 4,PIT,vs NYY,7.45,Mitch Keller,2025
Apr 9,PIT,vs STL,4.24,Mitch Keller,2025
Apr 15,PIT,vs WSH,4.30,Mitch Keller,2025
Apr 20,PIT,vs CLE,4.18,Mitch Keller,2025
Apr 26,PIT,@ LAD,3.97,Mitch Keller,2025
May 2,PIT,vs SD,4.38,Mitch Keller,2025
Mar 28,PIT,@ MIA,1.50,Mitch Keller,2025
Apr 4,PIT,vs NYY,7.45,Mitch Keller,2025
Apr 9,PIT,vs STL,4.24,Mitch Keller,2025
Apr 15,PIT,vs WSH,4.30,Mitch Keller,2025
Apr 20,PIT,vs CLE,4.18,Mitch Keller,2025
Apr 26,PIT,@ LAD,3.97,Mitch Keller,2025
May 2,PIT,vs SD,4.38,Mitch Keller,2025
Mar 30,WSH,vs PHI,0.00,Mitchell Parker,2025
Apr 5,WSH,vs AZ,0.73,Mitchell Parker,2025
Apr 11,WSH,@ MIA,1.96,Mitchell Parker,2025
Apr 16,WSH,@ PIT,1.85,Mitchell Parker,2025
Apr 22,WSH,vs BAL,1.39,Mitchell Parker,2025
Apr 27,WSH,vs NYM,2.65,Mitchell Parker,2025
May 2,WSH,@ CIN,3.48,Mitchell Parker,2025
Mar 30,WSH,vs PHI,0.00,Mitchell Parker,2025
Apr 5,WSH,vs AZ,0.73,Mitchell Parker,2025
Apr 11,WSH,@ MIA,1.96,Mitchell Parker,2025
Apr 16,WSH,@ PIT,1.85,Mitchell Parker,2025
Apr 22,WSH,vs BAL,1.39,Mitchell Parker,2025
Apr 27,WSH,vs NYM,2.65,Mitchell Parker,2025
May 2,WSH,@ CIN,3.48,Mitchell Parker,2025
Mar 27,TEX,vs BOS,3.00,Nathan Eovaldi,2025
Apr 1,TEX,@ CIN,1.20,Nathan Eovaldi,2025
Apr 7,TEX,@ CHC,2.29,Nathan Eovaldi,2025
Apr 13,TEX,@ SEA,2.55,Nathan Eovaldi,2025
Apr 19,TEX,vs LAD,2.64,Nathan Eovaldi,2025
Apr 25,TEX,@ SF,2.21,Nathan Eovaldi,2025
Apr 30,TEX,vs ATH,2.11,Nathan Eovaldi,2025
Mar 27,TEX,vs BOS,3.00,Nathan Eovaldi,2025
Apr 1,TEX,@ CIN,1.20,Nathan Eovaldi,2025
Apr 7,TEX,@ CHC,2.29,Nathan Eovaldi,2025
Apr 13,TEX,@ SEA,2.55,Nathan Eovaldi,2025
Apr 19,TEX,vs LAD,2.64,Nathan Eovaldi,2025
Apr 25,TEX,@ SF,2.21,Nathan Eovaldi,2025
Apr 30,TEX,vs ATH,2.11,Nathan Eovaldi,2025
Mar 29,MIL,@ NYY,36.00,Nestor Cortes,2025
Apr 3,MIL,vs CIN,9.00,Nestor Cortes,2025
Mar 29,MIL,@ NYY,36.00,Nestor Cortes,2025
Apr 3,MIL,vs CIN,9.00,Nestor Cortes,2025
Mar 29,CIN,vs SF,3.00,Nick Lodolo,2025
Apr 3,CIN,@ MIL,1.42,Nick Lodolo,2025
Apr 8,CIN,@ SF,0.96,Nick Lodolo,2025
Apr 15,CIN,vs SEA,2.31,Nick Lodolo,2025
Apr 21,CIN,@ MIA,2.79,Nick Lodolo,2025
Apr 27,CIN,@ COL,2.25,Nick Lodolo,2025
May 3,CIN,vs WSH,3.27,Nick Lodolo,2025
Mar 29,CIN,vs SF,3.00,Nick Lodolo,2025
Apr 3,CIN,@ MIL,1.42,Nick Lodolo,2025
Apr 8,CIN,@ SF,0.96,Nick Lodolo,2025
Apr 15,CIN,vs SEA,2.31,Nick Lodolo,2025
Apr 21,CIN,@ MIA,2.79,Nick Lodolo,2025
Apr 27,CIN,@ COL,2.25,Nick Lodolo,2025
May 3,CIN,vs WSH,3.27,Nick Lodolo,2025
Mar 30,CIN,vs SF,6.00,Nick Martinez,2025
Apr 4,CIN,@ MIL,5.91,Nick Martinez,2025
Apr 9,CIN,@ SF,6.06,Nick Martinez,2025
Apr 16,CIN,vs SEA,6.00,Nick Martinez,2025
Apr 22,CIN,@ MIA,5.40,Nick Martinez,2025
Apr 28,CIN,vs STL,4.68,Nick Martinez,2025
May 4,CIN,vs WSH,4.19,Nick Martinez,2025
Mar 30,CIN,vs SF,6.00,Nick Martinez,2025
Apr 4,CIN,@ MIL,5.91,Nick Martinez,2025
Apr 9,CIN,@ SF,6.06,Nick Martinez,2025
Apr 16,CIN,vs SEA,6.00,Nick Martinez,2025
Apr 22,CIN,@ MIA,5.40,Nick Martinez,2025
Apr 28,CIN,vs STL,4.68,Nick Martinez,2025
May 4,CIN,vs WSH,4.19,Nick Martinez,2025
Mar 27,MIN,@ STL,3.60,Pablo Lopez,2025
Apr 2,MIN,@ CWS,2.25,Pablo Lopez,2025
Apr 8,MIN,@ KC,1.62,Pablo Lopez,2025
Apr 25,MIN,vs LAA,2.08,Pablo Lopez,2025
Apr 30,MIN,@ CLE,2.25,Pablo Lopez,2025
Mar 27,MIN,@ STL,3.60,Pablo Lopez,2025
Apr 2,MIN,@ CWS,2.25,Pablo Lopez,2025
Apr 8,MIN,@ KC,1.62,Pablo Lopez,2025
Apr 25,MIN,vs LAA,2.08,Pablo Lopez,2025
Apr 30,MIN,@ CLE,2.25,Pablo Lopez,2025
Apr 8,TEX,@ CHC,6.75,Patrick Corbin,2025
Apr 16,TEX,vs LAA,3.86,Patrick Corbin,2025
Apr 22,TEX,@ ATH,3.77,Patrick Corbin,2025
Apr 28,TEX,vs ATH,3.79,Patrick Corbin,2025
May 3,TEX,vs SEA,3.28,Patrick Corbin,2025
Apr 8,TEX,@ CHC,6.75,Patrick Corbin,2025
Apr 16,TEX,vs LAA,3.86,Patrick Corbin,2025
Apr 22,TEX,@ ATH,3.77,Patrick Corbin,2025
Apr 28,TEX,vs ATH,3.79,Patrick Corbin,2025
May 3,TEX,vs SEA,3.28,Patrick Corbin,2025
Mar 27,PIT,@ MIA,3.38,Paul Skenes,2025
Apr 2,PIT,@ TB,1.46,Paul Skenes,2025
Apr 8,PIT,vs STL,3.44,Paul Skenes,2025
Apr 14,PIT,vs WSH,2.96,Paul Skenes,2025
Apr 19,PIT,vs CLE,2.87,Paul Skenes,2025
Apr 25,PIT,@ LAD,2.39,Paul Skenes,2025
May 1,PIT,vs CHC,2.74,Paul Skenes,2025
Mar 27,PIT,@ MIA,3.38,Paul Skenes,2025
Apr 2,PIT,@ TB,1.46,Paul Skenes,2025
Apr 8,PIT,vs STL,3.44,Paul Skenes,2025
Apr 14,PIT,vs WSH,2.96,Paul Skenes,2025
Apr 19,PIT,vs CLE,2.87,Paul Skenes,2025
Apr 25,PIT,@ LAD,2.39,Paul Skenes,2025
May 1,PIT,vs CHC,2.74,Paul Skenes,2025
Apr 10,MIL,@ COL,1.80,Quinn Priester,2025
Apr 15,MIL,vs DET,0.90,Quinn Priester,2025
Apr 21,MIL,@ SF,1.93,Quinn Priester,2025
Apr 26,MIL,@ STL,3.79,Quinn Priester,2025
May 2,MIL,vs CHC,5.79,Quinn Priester,2025
Apr 10,MIL,@ COL,1.80,Quinn Priester,2025
Apr 15,MIL,vs DET,0.90,Quinn Priester,2025
Apr 21,MIL,@ SF,1.93,Quinn Priester,2025
Apr 26,MIL,@ STL,3.79,Quinn Priester,2025
May 2,MIL,vs CHC,5.79,Quinn Priester,2025
Mar 29,DET,@ LAD,7.71,Reese Olson,2025
Apr 5,DET,vs CWS,5.06,Reese Olson,2025
Apr 11,DET,@ MIN,6.00,Reese Olson,2025
Apr 17,DET,vs KC,4.50,Reese Olson,2025
Apr 23,DET,vs SD,3.29,Reese Olson,2025
Apr 29,DET,@ HOU,3.55,Reese Olson,2025
May 4,DET,@ LAA,3.03,Reese Olson,2025
Mar 29,DET,@ LAD,7.71,Reese Olson,2025
Apr 5,DET,vs CWS,5.06,Reese Olson,2025
Apr 11,DET,@ MIN,6.00,Reese Olson,2025
Apr 17,DET,vs KC,4.50,Reese Olson,2025
Apr 23,DET,vs SD,3.29,Reese Olson,2025
Apr 29,DET,@ HOU,3.55,Reese Olson,2025
May 4,DET,@ LAA,3.03,Reese Olson,2025
Mar 28,ATL,@ SD,5.40,Reynaldo Lopez,2025
Mar 28,ATL,@ SD,5.40,Reynaldo Lopez,2025
Mar 30,BOS,@ TEX,4.50,Richard Fitts,2025
Apr 7,BOS,vs TOR,4.50,Richard Fitts,2025
Apr 12,BOS,@ CWS,3.18,Richard Fitts,2025
Mar 30,BOS,@ TEX,4.50,Richard Fitts,2025
Apr 7,BOS,vs TOR,4.50,Richard Fitts,2025
Apr 12,BOS,@ CWS,3.18,Richard Fitts,2025
Mar 19,LAD,@ CHC,3.00,Roki Sasaki,2025
Mar 29,LAD,vs DET,5.79,Roki Sasaki,2025
Apr 5,LAD,@ PHI,4.15,Roki Sasaki,2025
Apr 12,LAD,vs CHC,3.29,Roki Sasaki,2025
Apr 19,LAD,@ TEX,3.20,Roki Sasaki,2025
Apr 26,LAD,vs PIT,3.55,Roki Sasaki,2025
May 3,LAD,@ ATL,3.86,Roki Sasaki,2025
Mar 19,LAD,@ CHC,3.00,Roki Sasaki,2025
Mar 29,LAD,vs DET,5.79,Roki Sasaki,2025
Apr 5,LAD,@ PHI,4.15,Roki Sasaki,2025
Apr 12,LAD,vs CHC,3.29,Roki Sasaki,2025
Apr 19,LAD,@ TEX,3.20,Roki Sasaki,2025
Apr 26,LAD,vs PIT,3.55,Roki Sasaki,2025
May 3,LAD,@ ATL,3.86,Roki Sasaki,2025
Mar 31,HOU,vs SF,5.40,Ronel Blanco,2025
Apr 6,HOU,@ MIN,9.45,Ronel Blanco,2025
Apr 11,HOU,vs LAA,6.94,Ronel Blanco,2025
Apr 16,HOU,@ STL,6.48,Ronel Blanco,2025
Apr 22,HOU,vs TOR,5.01,Ronel Blanco,2025
Apr 28,HOU,vs DET,5.08,Ronel Blanco,2025
Mar 31,HOU,vs SF,5.40,Ronel Blanco,2025
Apr 6,HOU,@ MIN,9.45,Ronel Blanco,2025
Apr 11,HOU,vs LAA,6.94,Ronel Blanco,2025
Apr 16,HOU,@ STL,6.48,Ronel Blanco,2025
Apr 22,HOU,vs TOR,5.01,Ronel Blanco,2025
Apr 28,HOU,vs DET,5.08,Ronel Blanco,2025
Mar 30,COL,@ TB,3.60,Ryan Feltner,2025
Apr 4,COL,vs ATH,3.60,Ryan Feltner,2025
Apr 10,COL,vs MIL,2.81,Ryan Feltner,2025
Apr 15,COL,@ LAD,4.82,Ryan Feltner,2025
Apr 22,COL,@ KC,3.86,Ryan Feltner,2025
Apr 28,COL,vs ATL,4.75,Ryan Feltner,2025
Mar 30,COL,@ TB,3.60,Ryan Feltner,2025
Apr 4,COL,vs ATH,3.60,Ryan Feltner,2025
Apr 10,COL,vs MIL,2.81,Ryan Feltner,2025
Apr 15,COL,@ LAD,4.82,Ryan Feltner,2025
Apr 22,COL,@ KC,3.86,Ryan Feltner,2025
Apr 28,COL,vs ATL,4.75,Ryan Feltner,2025
Mar 31,HOU,vs SF,0.00,Ryan Gusto,2025
Apr 2,HOU,vs SF,2.25,Ryan Gusto,2025
Apr 5,HOU,@ MIN,1.29,Ryan Gusto,2025
Apr 8,HOU,@ SEA,1.13,Ryan Gusto,2025
Apr 12,HOU,vs LAA,3.00,Ryan Gusto,2025
Apr 18,HOU,vs SD,3.18,Ryan Gusto,2025
Apr 23,HOU,vs TOR,2.78,Ryan Gusto,2025
Apr 29,HOU,vs DET,3.00,Ryan Gusto,2025
May 4,HOU,@ CWS,2.93,Ryan Gusto,2025
Mar 31,HOU,vs SF,0.00,Ryan Gusto,2025
Apr 2,HOU,vs SF,2.25,Ryan Gusto,2025
Apr 5,HOU,@ MIN,1.29,Ryan Gusto,2025
Apr 8,HOU,@ SEA,1.13,Ryan Gusto,2025
Apr 12,HOU,vs LAA,3.00,Ryan Gusto,2025
Apr 18,HOU,vs SD,3.18,Ryan Gusto,2025
Apr 23,HOU,vs TOR,2.78,Ryan Gusto,2025
Apr 29,HOU,vs DET,3.00,Ryan Gusto,2025
May 4,HOU,@ CWS,2.93,Ryan Gusto,2025
Mar 27,MIA,vs PIT,3.86,Sandy Alcantara,2025
Apr 1,MIA,vs NYM,3.72,Sandy Alcantara,2025
Apr 12,MIA,vs WSH,4.70,Sandy Alcantara,2025
Apr 18,MIA,@ PHI,7.27,Sandy Alcantara,2025
Apr 23,MIA,vs CIN,6.56,Sandy Alcantara,2025
Apr 29,MIA,@ LAD,8.31,Sandy Alcantara,2025
Mar 27,MIA,vs PIT,3.86,Sandy Alcantara,2025
Apr 1,MIA,vs NYM,3.72,Sandy Alcantara,2025
Apr 12,MIA,vs WSH,4.70,Sandy Alcantara,2025
Apr 18,MIA,@ PHI,7.27,Sandy Alcantara,2025
Apr 23,MIA,vs CIN,6.56,Sandy Alcantara,2025
Apr 29,MIA,@ LAD,8.31,Sandy Alcantara,2025
Mar 27,CWS,vs LAA,0.00,Sean Burke,2025
Apr 2,CWS,vs MIN,5.23,Sean Burke,2025
Apr 9,CWS,@ CLE,6.08,Sean Burke,2025
Apr 15,CWS,vs ATH,7.56,Sean Burke,2025
Apr 20,CWS,@ BOS,6.23,Sean Burke,2025
Apr 25,CWS,@ ATH,6.00,Sean Burke,2025
May 1,CWS,vs MIL,4.91,Sean Burke,2025
Mar 27,CWS,vs LAA,0.00,Sean Burke,2025
Apr 2,CWS,vs MIN,5.23,Sean Burke,2025
Apr 9,CWS,@ CLE,6.08,Sean Burke,2025
Apr 15,CWS,vs ATH,7.56,Sean Burke,2025
Apr 20,CWS,@ BOS,6.23,Sean Burke,2025
Apr 25,CWS,@ ATH,6.00,Sean Burke,2025
May 1,CWS,vs MIL,4.91,Sean Burke,2025
Mar 31,BOS,@ BAL,9.00,Sean Newcomb,2025
Apr 6,BOS,vs STL,5.19,Sean Newcomb,2025
Apr 11,BOS,@ CWS,4.97,Sean Newcomb,2025
Apr 16,BOS,@ TB,3.63,Sean Newcomb,2025
Apr 23,BOS,vs SEA,4.43,Sean Newcomb,2025
Apr 27,BOS,@ CLE,4.24,Sean Newcomb,2025
Mar 31,BOS,@ BAL,9.00,Sean Newcomb,2025
Apr 6,BOS,vs STL,5.19,Sean Newcomb,2025
Apr 11,BOS,@ CWS,4.97,Sean Newcomb,2025
Apr 16,BOS,@ TB,3.63,Sean Newcomb,2025
Apr 23,BOS,vs SEA,4.43,Sean Newcomb,2025
Apr 27,BOS,@ CLE,4.24,Sean Newcomb,2025
Apr 1,CWS,vs MIN,3.18,Shane Smith,2025
Apr 8,CWS,@ CLE,1.54,Shane Smith,2025
Apr 13,CWS,vs BOS,2.04,Shane Smith,2025
Apr 19,CWS,@ BOS,2.82,Shane Smith,2025
Apr 24,CWS,@ MIN,2.30,Shane Smith,2025
Apr 30,CWS,vs MIL,2.23,Shane Smith,2025
Apr 1,CWS,vs MIN,3.18,Shane Smith,2025
Apr 8,CWS,@ CLE,1.54,Shane Smith,2025
Apr 13,CWS,vs BOS,2.04,Shane Smith,2025
Apr 19,CWS,@ BOS,2.82,Shane Smith,2025
Apr 24,CWS,@ MIN,2.30,Shane Smith,2025
Apr 30,CWS,vs MIL,2.23,Shane Smith,2025
Mar 18,CHC,vs LAD,0.00,Shota Imanaga,2025
Mar 29,CHC,@ AZ,0.82,Shota Imanaga,2025
Apr 4,CHC,vs SD,0.98,Shota Imanaga,2025
Apr 9,CHC,vs TEX,2.70,Shota Imanaga,2025
Apr 15,CHC,@ SD,2.22,Shota Imanaga,2025
Apr 22,CHC,vs LAD,3.18,Shota Imanaga,2025
Apr 29,CHC,@ PIT,2.77,Shota Imanaga,2025
May 4,CHC,@ MIL,2.82,Shota Imanaga,2025
Mar 18,CHC,vs LAD,0.00,Shota Imanaga,2025
Mar 29,CHC,@ AZ,0.82,Shota Imanaga,2025
Apr 4,CHC,vs SD,0.98,Shota Imanaga,2025
Apr 9,CHC,vs TEX,2.70,Shota Imanaga,2025
Apr 15,CHC,@ SD,2.22,Shota Imanaga,2025
Apr 22,CHC,vs LAD,3.18,Shota Imanaga,2025
Apr 29,CHC,@ PIT,2.77,Shota Imanaga,2025
May 4,CHC,@ MIL,2.82,Shota Imanaga,2025
Apr 1,MIN,@ CWS,4.50,Simeon Woods Richardson,2025
Apr 7,MIN,@ KC,5.59,Simeon Woods Richardson,2025
Apr 13,MIN,vs DET,4.30,Simeon Woods Richardson,2025
Apr 19,MIN,@ ATL,4.74,Simeon Woods Richardson,2025
Apr 26,MIN,vs LAA,4.07,Simeon Woods Richardson,2025
May 1,MIN,@ CLE,4.03,Simeon Woods Richardson,2025
Apr 1,MIN,@ CWS,4.50,Simeon Woods Richardson,2025
Apr 7,MIN,@ KC,5.59,Simeon Woods Richardson,2025
Apr 13,MIN,vs DET,4.30,Simeon Woods Richardson,2025
Apr 19,MIN,@ ATL,4.74,Simeon Woods Richardson,2025
Apr 26,MIN,vs LAA,4.07,Simeon Woods Richardson,2025
May 1,MIN,@ CLE,4.03,Simeon Woods Richardson,2025
Mar 27,STL,vs MIN,3.60,Sonny Gray,2025
Apr 2,STL,vs LAA,5.73,Sonny Gray,2025
Apr 8,STL,@ PIT,4.50,Sonny Gray,2025
Apr 14,STL,vs HOU,3.13,Sonny Gray,2025
Apr 20,STL,@ NYM,3.41,Sonny Gray,2025
Apr 26,STL,vs MIL,3.60,Sonny Gray,2025
May 2,STL,vs NYM,4.12,Sonny Gray,2025
Mar 27,STL,vs MIN,3.60,Sonny Gray,2025
Apr 2,STL,vs LAA,5.73,Sonny Gray,2025
Apr 8,STL,@ PIT,4.50,Sonny Gray,2025
Apr 14,STL,vs HOU,3.13,Sonny Gray,2025
Apr 20,STL,@ NYM,3.41,Sonny Gray,2025
Apr 26,STL,vs MIL,3.60,Sonny Gray,2025
May 2,STL,vs NYM,4.12,Sonny Gray,2025
Mar 29,ATL,@ SD,0.00,Spencer Schwellenbach,2025
Apr 4,ATL,vs MIA,0.00,Spencer Schwellenbach,2025
Apr 10,ATL,vs PHI,0.45,Spencer Schwellenbach,2025
Apr 15,ATL,@ TOR,2.55,Spencer Schwellenbach,2025
Apr 21,ATL,vs STL,2.56,Spencer Schwellenbach,2025
Apr 27,ATL,@ AZ,2.87,Spencer Schwellenbach,2025
May 3,ATL,vs LAD,3.92,Spencer Schwellenbach,2025
Mar 29,ATL,@ SD,0.00,Spencer Schwellenbach,2025
Apr 4,ATL,vs MIA,0.00,Spencer Schwellenbach,2025
Apr 10,ATL,vs PHI,0.45,Spencer Schwellenbach,2025
Apr 15,ATL,@ TOR,2.55,Spencer Schwellenbach,2025
Apr 21,ATL,vs STL,2.56,Spencer Schwellenbach,2025
Apr 27,ATL,@ AZ,2.87,Spencer Schwellenbach,2025
May 3,ATL,vs LAD,3.92,Spencer Schwellenbach,2025
Apr 3,PHI,vs COL,0.00,Taijuan Walker,2025
Apr 9,PHI,@ ATL,0.00,Taijuan Walker,2025
Apr 14,PHI,vs SF,2.30,Taijuan Walker,2025
Apr 19,PHI,vs MIA,2.29,Taijuan Walker,2025
Apr 25,PHI,@ CHC,2.78,Taijuan Walker,2025
May 1,PHI,vs WSH,2.54,Taijuan Walker,2025
Apr 3,PHI,vs COL,0.00,Taijuan Walker,2025
Apr 9,PHI,@ ATL,0.00,Taijuan Walker,2025
Apr 14,PHI,vs SF,2.30,Taijuan Walker,2025
Apr 19,PHI,vs MIA,2.29,Taijuan Walker,2025
Apr 25,PHI,@ CHC,2.78,Taijuan Walker,2025
May 1,PHI,vs WSH,2.54,Taijuan Walker,2025
Mar 30,CLE,@ KC,0.00,Tanner Bibee,2025
Apr 5,CLE,@ LAA,6.52,Tanner Bibee,2025
Apr 11,CLE,vs KC,4.40,Tanner Bibee,2025
Apr 17,CLE,@ BAL,5.85,Tanner Bibee,2025
Apr 22,CLE,vs NYY,5.19,Tanner Bibee,2025
Apr 29,CLE,vs MIN,4.36,Tanner Bibee,2025
May 4,CLE,@ TOR,4.26,Tanner Bibee,2025
Mar 30,CLE,@ KC,0.00,Tanner Bibee,2025
Apr 5,CLE,@ LAA,6.52,Tanner Bibee,2025
Apr 11,CLE,vs KC,4.40,Tanner Bibee,2025
Apr 17,CLE,@ BAL,5.85,Tanner Bibee,2025
Apr 22,CLE,vs NYY,5.19,Tanner Bibee,2025
Apr 29,CLE,vs MIN,4.36,Tanner Bibee,2025
May 4,CLE,@ TOR,4.26,Tanner Bibee,2025
Mar 28,BOS,@ TEX,6.35,Tanner Houck,2025
Apr 3,BOS,@ BAL,6.52,Tanner Houck,2025
Apr 9,BOS,vs TOR,4.41,Tanner Houck,2025
Apr 14,BOS,@ TB,9.16,Tanner Houck,2025
Apr 20,BOS,vs CWS,7.66,Tanner Houck,2025
Apr 26,BOS,@ CLE,7.58,Tanner Houck,2025
May 1,BOS,@ TOR,6.38,Tanner Houck,2025
Mar 28,BOS,@ TEX,6.35,Tanner Houck,2025
Apr 3,BOS,@ BAL,6.52,Tanner Houck,2025
Apr 9,BOS,vs TOR,4.41,Tanner Houck,2025
Apr 14,BOS,@ TB,9.16,Tanner Houck,2025
Apr 20,BOS,vs CWS,7.66,Tanner Houck,2025
Apr 26,BOS,@ CLE,7.58,Tanner Houck,2025
May 1,BOS,@ TOR,6.38,Tanner Houck,2025
Mar 27,DET,@ LAD,7.20,Tarik Skubal,2025
Apr 2,DET,@ SEA,5.91,Tarik Skubal,2025
Apr 8,DET,vs NYY,3.78,Tarik Skubal,2025
Apr 14,DET,@ MIL,2.66,Tarik Skubal,2025
Apr 20,DET,vs KC,2.83,Tarik Skubal,2025
Apr 27,DET,vs BAL,2.34,Tarik Skubal,2025
May 2,DET,@ LAA,2.21,Tarik Skubal,2025
Mar 27,DET,@ LAD,7.20,Tarik Skubal,2025
Apr 2,DET,@ SEA,5.91,Tarik Skubal,2025
Apr 8,DET,vs NYY,3.78,Tarik Skubal,2025
Apr 14,DET,@ MIL,2.66,Tarik Skubal,2025
Apr 20,DET,vs KC,2.83,Tarik Skubal,2025
Apr 27,DET,vs BAL,2.34,Tarik Skubal,2025
May 2,DET,@ LAA,2.21,Tarik Skubal,2025
Mar 30,BAL,@ TOR,4.50,Tomoyuki Sugano,2025
Apr 5,BAL,@ KC,2.89,Tomoyuki Sugano,2025
Apr 12,BAL,vs TOR,3.86,Tomoyuki Sugano,2025
Apr 17,BAL,vs CLE,3.43,Tomoyuki Sugano,2025
Apr 23,BAL,@ WSH,3.54,Tomoyuki Sugano,2025
Apr 28,BAL,vs NYY,3.00,Tomoyuki Sugano,2025
May 3,BAL,vs KC,3.00,Tomoyuki Sugano,2025
Mar 30,BAL,@ TOR,4.50,Tomoyuki Sugano,2025
Apr 5,BAL,@ KC,2.89,Tomoyuki Sugano,2025
Apr 12,BAL,vs TOR,3.86,Tomoyuki Sugano,2025
Apr 17,BAL,vs CLE,3.43,Tomoyuki Sugano,2025
Apr 23,BAL,@ WSH,3.54,Tomoyuki Sugano,2025
Apr 28,BAL,vs NYY,3.00,Tomoyuki Sugano,2025
May 3,BAL,vs KC,3.00,Tomoyuki Sugano,2025
Apr 1,WSH,@ TOR,5.40,Trevor Williams,2025
Apr 6,WSH,vs AZ,5.40,Trevor Williams,2025
Apr 12,WSH,@ MIA,7.36,Trevor Williams,2025
Apr 17,WSH,@ PIT,5.95,Trevor Williams,2025
Apr 23,WSH,vs BAL,5.11,Trevor Williams,2025
Apr 28,WSH,vs NYM,5.70,Trevor Williams,2025
May 3,WSH,@ CIN,5.86,Trevor Williams,2025
Apr 1,WSH,@ TOR,5.40,Trevor Williams,2025
Apr 6,WSH,vs AZ,5.40,Trevor Williams,2025
Apr 12,WSH,@ MIA,7.36,Trevor Williams,2025
Apr 17,WSH,@ PIT,5.95,Trevor Williams,2025
Apr 23,WSH,vs BAL,5.11,Trevor Williams,2025
Apr 28,WSH,vs NYM,5.70,Trevor Williams,2025
May 3,WSH,@ CIN,5.86,Trevor Williams,2025
Mar 27,MIL,@ NYY,0.00,Tyler Alexander,2025
Mar 30,MIL,@ NYY,5.40,Tyler Alexander,2025
Apr 4,MIL,vs CIN,2.00,Tyler Alexander,2025
Apr 9,MIL,@ COL,2.84,Tyler Alexander,2025
Apr 14,MIL,vs DET,4.32,Tyler Alexander,2025
Apr 20,MIL,vs ATH,3.66,Tyler Alexander,2025
Apr 24,MIL,@ SF,4.50,Tyler Alexander,2025
Apr 25,MIL,@ STL,4.71,Tyler Alexander,2025
Apr 30,MIL,@ CWS,4.56,Tyler Alexander,2025
May 2,MIL,vs CHC,5.18,Tyler Alexander,2025
Mar 27,MIL,@ NYY,0.00,Tyler Alexander,2025
Mar 30,MIL,@ NYY,5.40,Tyler Alexander,2025
Apr 4,MIL,vs CIN,2.00,Tyler Alexander,2025
Apr 9,MIL,@ COL,2.84,Tyler Alexander,2025
Apr 14,MIL,vs DET,4.32,Tyler Alexander,2025
Apr 20,MIL,vs ATH,3.66,Tyler Alexander,2025
Apr 24,MIL,@ SF,4.50,Tyler Alexander,2025
Apr 25,MIL,@ STL,4.71,Tyler Alexander,2025
Apr 30,MIL,@ CWS,4.56,Tyler Alexander,2025
May 2,MIL,vs CHC,5.18,Tyler Alexander,2025
Mar 31,LAA,@ STL,5.40,Tyler Anderson,2025
Apr 6,LAA,vs CLE,4.50,Tyler Anderson,2025
Apr 12,LAA,@ HOU,2.87,Tyler Anderson,2025
Apr 18,LAA,vs SF,2.08,Tyler Anderson,2025
Apr 24,LAA,vs PIT,2.60,Tyler Anderson,2025
Apr 30,LAA,@ SEA,2.67,Tyler Anderson,2025
Mar 31,LAA,@ STL,5.40,Tyler Anderson,2025
Apr 6,LAA,vs CLE,4.50,Tyler Anderson,2025
Apr 12,LAA,@ HOU,2.87,Tyler Anderson,2025
Apr 18,LAA,vs SF,2.08,Tyler Anderson,2025
Apr 24,LAA,vs PIT,2.60,Tyler Anderson,2025
Apr 30,LAA,@ SEA,2.67,Tyler Anderson,2025
Mar 31,LAD,vs ATL,0.00,Tyler Glasnow,2025
